,0
오정태,1
순서,1
성향,1
필독서,1
효과,1
패배,1
컴백,1
긍정,1
용사,1
독,1
도망자,1
성격,1
해설,1
봇,1
정석,1
여긴,1
클로징,1
모바일,1
실감,1
마녀,1
가짜,1
메이저,1
시한,1
앞부분,1
실망,1
거리,1
재생,1
각종,1
달러,1
진문장,1
내공,1
연구,1
윌,1
역사,1
가게,1
너,1
연결,1
셀러,1
민준,1
의미,1
요낭,1
절망,1
철학자,1
멤버,1
취소,1
요구,1
스킵,1
대학교,1
피엔스,1
시집,1
겁니다,1
새,1
연기력,1
깨달음,1
초반,1
자조,1
밤,1
연필,1
힝,1
스토리,1
균,1
지적,1
모범,1
지우개,1
일부,1
누구,1
언제,1
첫마디,1
상대,1
가내,1
전문,1
인격,1
파일,1
리더,1
토크,1
이용,1
퇴직,1
증폭,1
갠,1
반전,1
신세계,1
당황,1
허스키,1
덕분,1
벽,1
각책,1
연출,1
코드,1
욕심쟁이,1
피곤,1
깨알,1
탈출,1
전공,1
