,keyword,0
405,좋네요오디오북,7
406,문소리,7
407,계기,7
408,예지원님,7
409,이거,7
410,혁신,7
411,안,7
412,당시,7
413,자연,7
414,건강,7
415,카,6
416,거짓말,6
417,시각,6
418,진지,6
419,유용,6
420,운전,6
421,듣기,6
422,섭님,6
423,성우들,6
424,좋은글,6
425,좋을거,6
426,리딩,6
427,좋네요책,6
428,들었습니다너무,6
429,눈물,6
430,참여,6
431,잘들을게요,6
432,최민식씨,6
433,좋아,6
434,위안,6
435,내용들,6
436,웃음,6
437,결제,6
438,중국,6
439,순간,6
440,두,6
441,머리속,6
442,선물,6
443,만족,6
444,인공지능,6
445,단순,6
446,학생들,6
447,나오길,6
448,ㅎㅎ너무,6
449,실감,6
450,만큼,6
451,배경,6
452,여유,6
453,문체,6
454,자체,6
455,어린시절,6
456,동안,6
457,무언가,6
458,분야,6
459,깔끔,6
460,아저씨,6
461,듣기좋네요,6
462,한마디,6
463,좋아요역시,6
464,좋으세요,6
465,인상적,6
466,유쾌,6
467,부담,6
468,강부자님,6
469,좋으네요,6
470,아다다,6
471,유료,6
472,무료듣기,6
473,차,6
474,잘듣겠습니다잘,6
475,장면,6
476,허지웅,6
477,영상,6
478,들어볼게요,6
479,날,6
480,이책,6
481,서비스,6
482,관점,6
483,배경음악,6
484,처리,6
485,감회,6
486,겨울,6
487,신기,6
488,잼나요,5
489,첫,5
490,출퇴근길,5
491,샘플,5
492,같아요잘,5
493,캐릭터,5
494,서늘,5
495,콜라보,5
496,왕자,5
497,힐링,5
498,덕,5
499,사례,5
500,빠져들,5
501,성인,5
502,대배우,5
503,파악,5
504,진행,5
505,철학,5
506,될거,5
507,두번,5
508,삭제,5
509,와닿,5
510,이걸,5
511,아련,5
512,블랙코미디,5
513,교육,5
514,뿐,5
515,참신,5
516,변화,5
517,굿목소리,5
518,미래,5
519,박지원,5
520,들었습니다듣기,5
521,명품배우,5
522,잔잔,5
523,한권,5
524,구매해서,5
525,다음편,5
526,심리,5
527,사,5
528,방송이,5
529,까칠,5
530,빠져드,5
531,호,5
532,강의,5
533,너무좋아요,5
534,들었어요목소리,5
535,발상,5
536,너무좋네요,5
537,확실,5
538,강,5
539,한강,5
540,지현이,5
541,좋은방송,5
542,오래전,5
543,대상,5
544,좋은목소리,5
545,사춘기,5
546,들으니깐,5
547,문배우님,5
548,현실감,5
549,가득,5
550,대박날것,5
551,1,5
552,아무,5
553,해결,5
554,그시절,5
555,응원합니다너무너무,5
556,듣기좋아요,5
557,장난,5
558,잼나,5
559,출퇴근시간,5
560,원작,5
561,인간관계론,5
562,너,5
563,많은걸,5
564,얼굴,5
565,장르,5
566,취지,5
567,좋은내용,5
568,집,5
569,이승열,5
570,생소,5
571,모두,5
572,전문,5
573,등장인물,5
574,들었어요잘들었습니다좋아요단순하,5
575,재능,5
576,주변,5
577,피디님,5
578,호흡,5
579,댓글,5
580,소중,5
581,듣겠습니다좋아요잘,5
582,평화,5
583,전집,5
584,불안,5
585,긴장감,5
586,문소리님,5
587,제,5
588,좀머,5
589,단어,5
590,텍스트,5
591,미국,5
592,기대됩니다목소리,5
593,되길,5
594,잘듣겠습니다,5
595,남편,5
596,대박나,5
597,프로젝트,5
598,언제,5
599,행동,5
600,남우현,5
601,목소리만,5
602,제공,5
603,해석,5
604,몇,4
605,개성,4
606,성찰,4
607,레미제라블,4
608,굿잘,4
609,의문,4
610,한예리님,4
611,들었습니다좋,4
612,권,4
613,ㄷ,4
614,오우,4
615,역할,4
616,뒤,4
617,영어,4
618,제시,4
619,평생,4
620,봉태규씨,4
621,안정,4
622,진실,4
623,발성,4
624,결혼,4
