좌파,6,편,7,,,파이팅,2,,,,,,,,,,
과학,6,재미,7,,,참고,2,,,,,,,,,,
굿,6,돈,7,,,말,2,,,,,,,,,,
자기,6,속,7,,,순간,2,,,,,,,,,,
년,6,걸,7,,,문,2,,,,,,,,,,
관심,6,사회,7,,,생동감,2,,,,,,,,,,
사실,6,재생,7,,,결제,2,,,,,,,,,,
부,6,이벤트,7,,,흥미,2,,,,,,,,,,
정도,6,낭독자,7,,,부모,2,,,,,,,,,,
리더,6,하루,7,,,걸,2,,,,,,,,,,
정치,6,음성,7,,,기억,2,,,,,,,,,,
대사,6,줄,7,,,팟캐스트,2,,,,,,,,,,
점,6,녹음,7,,,요시,2,,,,,,,,,,
결말,6,오은영,7,,,이지혜,2,,,,,,,,,,
역할,6,태리,6,,,여잘,2,,,,,,,,,,
발음,6,제,6,,,짐,2,,,,,,,,,,
다음,6,감정,6,,,여의도,2,,,,,,,,,,
개,6,다음,6,,,완전,2,,,,,,,,,,
건,6,대,6,,,다음,2,,,,,,,,,,
뭔가,6,이,6,,,학생,2,,,,,,,,,,
전,6,단어,6,,,께,2,,,,,,,,,,
등,5,댓글,6,,,소재,2,,,,,,,,,,
눈물,5,스님,6,,,음질,2,,,,,,,,,,
십,5,흥미,6,,,매력,2,,,,,,,,,,
후,5,집,6,,,전달,2,,,,,,,,,,
뭐,5,천,6,,,편,2,,,,,,,,,,
개인,5,당신,6,,,평화,2,,,,,,,,,,
드라마,5,순간,6,,,선택,2,,,,,,,,,,
가슴,5,자기,6,,,중학생,2,,,,,,,,,,
부자,5,캐릭터,6,,,강부자,2,,,,,,,,,,
대,5,개인,6,,,끝,2,,,,,,,,,,
스토리,5,페스트,6,,,만,2,,,,,,,,,,
강추,5,끝,6,,,불편,2,,,,,,,,,,
생활,5,결국,6,,,고통,2,,,,,,,,,,
흐름,5,살,6,,,친구,2,,,,,,,,,,
불편,5,마지막,6,,,학창,2,,,,,,,,,,
나중,5,나레이션,5,,,인물,2,,,,,,,,,,
자체,5,챕터,5,,,세상,2,,,,,,,,,,
우리,5,애거서,5,,,필요,2,,,,,,,,,,
기분,5,의미,5,,,데이터,2,,,,,,,,,,
차선,5,잠,5,,,줄,2,,,,,,,,,,
변화,5,응원,5,,,스트리밍,2,,,,,,,,,,
시,5,기회,5,,,공감,2,,,,,,,,,,
나무,5,크리스티,5,,,성,2,,,,,,,,,,
운동,5,모습,5,,,신고,2,,,,,,,,,,
주식,5,넷플릭스,5,,,묘사,2,,,,,,,,,,
아들,5,스토리,5,,,톤,2,,,,,,,,,,
경험,5,배,5,,,도전,2,,,,,,,,,,
때문,5,공부,5,,,최민식,2,,,,,,,,,,
세,5,동안,5,,,힐링,2,,,,,,,,,,
출퇴근,5,할머니,5,,,소름,2,,,,,,,,,,
필요,5,부탁,5,,,만화,2,,,,,,,,,,
오,5,적,5,,,무엇,2,,,,,,,,,,
지식,5,이영도,5,,,오늘,1,,,,,,,,,,
일상,4,오랜만,5,,,여유,1,,,,,,,,,,
프롤로그,4,만,5,,,경청,1,,,,,,,,,,
누구,4,얘기,5,,,검열,1,,,,,,,,,,
완독,4,자연,5,,,감상,1,,,,,,,,,,
성공,4,정리,5,,,뿐,1,,,,,,,,,,
여성,4,뭐,5,,,완벽,1,,,,,,,,,,
추월,4,속도,5,,,꿈,1,,,,,,,,,,
기계음,4,샘플,5,,,당책,1,,,,,,,,,,
뿐,4,역사,5,,,물,1,,,,,,,,,,
뒤,4,현실,5,,,오스카,1,,,,,,,,,,
텐데,4,장민혁,5,,,편견,1,,,,,,,,,,
건강,4,중요,5,,,근무,1,,,,,,,,,,
개연,4,상황,5,,,다력,1,,,,,,,,,,
문장,4,부모,5,,,장,1,,,,,,,,,,
세상,4,이상,5,,,실사구시,1,,,,,,,,,,
톤,4,지금,4,,,성근,1,,,,,,,,,,
병원,4,정유정,4,,,딜,1,,,,,,,,,,
미래,4,팬,4,,,후회,1,,,,,,,,,,
부모,4,퀄리티,4,,,경제,1,,,,,,,,,,
이유,4,시절,4,,,김유열,1,,,,,,,,,,
전달,4,자체,4,,,근대,1,,,,,,,,,,
재생,4,실패,4,,,잠청,1,,,,,,,,,,
