,0
답안,1
입감,1
테스트,1
듬,1
시절,1
자식,1
독,1
완전,1
회피,1
예전,1
젊음,1
서구,1
꽃길,1
속칭,1
파일,1
총체,1
문과,1
실패,1
대입,1
가치관,1
짜증,1
이념,1
소리,1
성숙,1
상황,1
글자,1
반성,1
현재,1
시한,1
가짜,1
멤버,1
마녀,1
가지,1
쇠,1
산,1
순서,1
백,1
리,1
패배,1
표정,1
찌질,1
요치,1
파란만장,1
소개,1
정독,1
여유,1
팟캐스트,1
뭔가요,1
뒷담,1
돌,1
부족,1
펙,1
관념,1
정석,1
수녀,1
스토리,1
해설,1
성격,1
단어,1
도망자,1
디,1
대립,1
분노,1
컴백,1
세계,1
보이스,1
앞부분,1
곳,1
사건,1
효과,1
절망,1
비판,1
록,1
달러,1
진문장,1
내공,1
연구,1
재생,1
긍정,1
노래,1
노파,1
너,1
연결,1
찰나,1
영하,1
취소,1
깨알,1
순간,1
소유자,1
사례,1
리더,1
연필,1
자조,1
밤,1
초반,1
스킵,1
칼,1
연기력,1
겁니다,1
시집,1
은근,1
대학교,1
힝,1
파트,1
옆,1
안평,1
토크,1
스토리텔링,1
인격,1
지금,1
창조,1
언제,1
불면증,1
땐,1
누구,1
지우개,1
모범,1
가게,1
거리,1
실망,1
국판,1
미소,1
균,1
표시,1
증폭,1
탈출,1
신하,1
부,1
코드,1
연출,1
벽,1
갠,1
자국,1
그것,1
정리,1
당황,1
신세계,1
반전,1
더블,1
