,title,voice,author,publish
0,하루 3분 세계사,이경준,김동섭,(주)시공사
1,대항해시대의 탄생,김인,송동훈,(주)시공사
2,쉽게 읽는 백범일지,강수진,"김구(저),도진순(엮음)",(주)돌베개
3,소비의 역사,설혜심,설혜심,(주)휴머니스트출판그룹
4,[강연형] 제국대학의 조센징,정종현,정종현,(주)휴머니스트출판그룹
5,제국에서 민국으로 가는 길,박광일,박광일,생각정원
6,전쟁과 평화(요약본),김은정,톨스토이,북코스모스
7,단박에 한국사 : 근대편,백재승,심용환,위즈덤하우스
8,"군함도, 끝나지 않은 전쟁",유경선,"김민철,김승은외",생각정원
9,특종 1987,"정훈석,이재범",신성호,중앙북스
