,title,voice,author,publish
248,길해연이 읽는 양귀자의 원미동 시인,길해연,양귀자,커뮤니케이션북스
249,정재진이 읽는 최일남의 흐르는 북,정재진,최일남,커뮤니케이션북스
250,성병숙이 읽는 이창동의 소지,성병숙,이창동,커뮤니케이션북스
251,윤상화가 읽는 윤정모의 밤길,윤상화,윤정모,커뮤니케이션북스
252,박호산이 읽는 김영현의 깊은 강은 멀리 흐른다,박호산,김영현,커뮤니케이션북스
253,이호성이 읽는 윤후명의 누란의 사랑,이호성,윤후명,커뮤니케이션북스
254,윤정섭이 읽는 최수철의 공중누각,윤정섭,최수철,커뮤니케이션북스
255,신현종·전국향이 읽는 임철우의 사평역,신현종·전국향,임철우,커뮤니케이션북스
256,김지숙이 읽는 서영은의 먼 그대,김지숙,서영은,커뮤니케이션북스
257,장영남이 읽는 김성동의 오막살이 집 한 채,장영남,김성동,커뮤니케이션북스
258,박상종이 읽는 현길언의 우리들의 조부님,박상종,현길언,커뮤니케이션북스
259,신안진이 읽는 이문열의 필론과 돼지,신안진,이문열,커뮤니케이션북스
260,김호영이 읽는 전상국의 우상의 눈물,김호영,전상국,커뮤니케이션북스
261,우현주가 읽는 김채원의 초록빛 모자,우현주,김채원,커뮤니케이션북스
262,전현아가 읽는 오정희의 중국인 거리,전현아,오정희,커뮤니케이션북스
263,전무송이 읽는 문순태의 징 소리,전무송,문순태,커뮤니케이션북스
264,문소리가 읽는 송기숙의 몽기미 풍경,문소리,송기숙,커뮤니케이션북스
265,최주봉이 읽는 이문구의 우리 동네 김씨,최주봉,이문구,커뮤니케이션북스
266,양손프로젝트가 읽는 조세희의 난장이가 쏘아올린 작은 공,양손프로젝트,조세희,커뮤니케이션북스
267,지춘성이 읽는 김주영의 도둑 견습,지춘성,김주영,커뮤니케이션북스
268,조재윤이 읽는 박범신의 토끼와 잠수함,조재윤,박범신,커뮤니케이션북스
269,김성녀가 읽는 황석영의 삼포 가는 길,김성녀,황석영,커뮤니케이션북스
270,손봉숙이 읽는 조선작의 영자의 전성시대,손봉숙,조선작,커뮤니케이션북스
271,장용철이 읽는 김원일의 어둠의 혼,장용철,김원일,커뮤니케이션북스
272,남기애가 읽는 박완서의 세상에서 제일 무거운 틀니,남기애,박완서,커뮤니케이션북스
273,김뢰하가 읽는 한수산의 사월의 끝,김뢰하,한수산,커뮤니케이션북스
274,양준모가 읽는 조해일의 뿔,양준모,조해일,커뮤니케이션북스
275,김의성이 읽는 최인호의 타인의 방,김의성,최인호,커뮤니케이션북스
276,고수희가 읽는 윤흥길의 황혼의 집,고수희,윤흥길,커뮤니케이션북스
277,이지하가 읽는 이제하의 유자약전,이지하,이제하,커뮤니케이션북스
278,황영희가 읽는 한승원의 목선,황영희,한승원,커뮤니케이션북스
279,이종혁이 읽는 박태순의 무너진 극장,이종혁,박태순,커뮤니케이션북스
280,박기륭이 읽는 서정인의 강,박기륭,서정인,커뮤니케이션북스
281,김진태가 읽는 천승세의 포대령,김진태,천승세,커뮤니케이션북스
282,최정원이 읽는 이동하의 인동,최정원,이동하,커뮤니케이션북스
283,박윤희가 읽는 이청준의 병신과 머저리,박윤희,이청준,커뮤니케이션북스
284,하성광이 읽는 남정현의 분지,하성광,남정현,커뮤니케이션북스
285,박상원이 읽는 김승옥의 무진기행,박상원,김승옥,커뮤니케이션북스
286,박용수가 읽는 전광용의 꺼삐딴 리,박용수,전광용,커뮤니케이션북스
287,이건명이 읽는 이호철의 판문점,이건명,이호철,커뮤니케이션북스
288,서태화가 읽는 최인훈의 그레이구락부 전말기,서태화,최인훈,커뮤니케이션북스
289,최민식이 읽는 이범선의 오발탄,최민식,이범선,커뮤니케이션북스
290,서이숙이 읽는 박경리의 암흑시대,서이숙,박경리,커뮤니케이션북스
291,배해선이 읽는 송병수의 쑈리 킴,배해선,송병수,커뮤니케이션북스
292,기주봉이 읽는 하근찬의 수난이대,기주봉,하근찬,커뮤니케이션북스
293,전국환이 읽는 정한숙의 전황당인보기,전국환,정한숙,커뮤니케이션북스
294,조성하가 읽는 장용학의 요한 시집,조성하,장용학,커뮤니케이션북스
295,김지성이 읽는 오영수의 갯마을,김지성,오영수,커뮤니케이션북스
296,예수정이 읽는 손창섭의 비 오는 날,예수정,손창섭,커뮤니케이션북스
297,유인촌이 읽는 안수길의 제3인간형,유인촌,안수길,커뮤니케이션북스
298,윤주상이 읽는 황순원의 목넘이 마을의 개,윤주상,황순원,커뮤니케이션북스
299,이대연이 읽는 안회남의 불,이대연,안회남,커뮤니케이션북스
300,박희순이 읽는 지하련의 도정,박희순,지하련,커뮤니케이션북스
301,정은표가 읽는 이근영의 고향사람들,정은표,이근영,커뮤니케이션북스
302,양미경이 읽는 박종화의 아랑의 정조,양미경,박종화,커뮤니케이션북스
303,김호정이 읽는 김남천의 경영,김호정,김남천,커뮤니케이션북스
304,정상철이 읽는 이무영의 제일과 제일장,정상철,이무영,커뮤니케이션북스
